SYMBOL,GM07029-A1,GM07029-A2,GM07029-A3,GM10835A1,GM10835A2,GM10835A3,GM12813-A1,GM12813-A1dup,GM12813-A2,GM12813-A2dup,GM12813-A3dup,GM07019,GM12812,GM12814,GM12815,Average,Stdev
QRICH1,5.559139911,4.958726624,5.429449535,3.833800041,3.65902096,3.675474426,6.317493131,6.255849702,6.203838463,6.087945784,5.695884191,7.274686054,7.602273095,7.24158612,9.060142256,5.923687353,1.52359884
MCM4,10.4397952,9.155142401,9.468442274,5.932548524,5.663342091,5.685431186,9.310176266,9.715444228,9.832912353,9.378384982,10.50467435,9.650352092,9.218696865,9.911264969,10.61859896,8.96568045,1.72083548
PWP1,3.097011004,2.735054099,3.413062884,4.875424745,4.432642209,4.911403515,1.773446914,1.519571918,1.804201939,1.402919955,1.510212105,1.852641741,1.359847009,1.387500811,1.682731101,2.51717813,1.315149865
CIITA,3.210740095,3.317936152,3.134591819,3.205869261,3.437337495,3.163518411,4.948105835,4.568723344,4.536768764,4.881372137,4.952695975,3.143410061,4.313449877,3.990197764,4.367470183,3.944812478,0.73680626
CYB5R3,18.81650835,23.53915515,18.99910645,10.0912763,11.7893163,10.78710146,24.9325685,26.6598491,26.58121305,26.21225614,25.14238669,23.66294376,19.61065807,19.93117701,27.85247587,20.97386615,5.996694179
ERGIC1,24.5737638,19.84664558,20.93462681,10.88559485,11.83336447,10.47320182,21.84238648,22.37135401,23.48738794,23.69357598,23.6423937,25.57387136,20.81989934,25.64675999,31.07818003,21.11353374,5.844316933
PSMB7,8.415369131,9.244280773,10.19734809,17.84361826,18.13601011,17.64689471,8.312086576,8.339477899,7.484421982,6.922475635,7.038905625,7.535990081,5.798069255,6.30729508,8.438425819,9.844044602,4.30053313
MYO1C,8.615672204,9.970274687,8.93945822,6.262946077,6.723152153,6.393257668,10.79755355,10.55360645,10.18192506,10.35408532,10.36182044,8.702727988,6.599417395,7.998231223,12.19804541,8.976811589,1.858714795
TRAPPC5,12.66121048,12.87883671,11.54189722,16.79571442,18.56563571,17.62099903,7.525111853,7.719042403,8.866935976,7.740355938,6.740349777,6.711944905,5.356325437,5.392363965,5.365603395,10.09882181,4.618736097
FKBP8,16.02083742,19.31437625,15.34761323,8.688561735,9.610099033,8.883082908,28.35140637,26.97008506,26.84146003,21.79633405,26.24853143,24.31671269,18.02667081,17.47648268,15.99008734,18.9254894,6.721472157
FBXO28,5.527481317,4.959889772,5.62251215,3.516558997,3.350884766,3.401726166,6.098754589,5.388497629,5.731586892,5.726352761,6.091200874,7.580435653,9.534578729,7.95582967,7.029897689,5.83441251,1.719396611
APH1A,12.76601483,10.99815268,10.93188748,6.550138517,7.205727818,6.864398979,13.39274469,14.25749759,14.01031411,15.18711656,16.17789587,15.94609007,12.51111538,14.12431874,22.04138754,12.86432006,4.057189553
