ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000100100.13	4999	0.63	1.24	0.77	0.26	0.76	0.17	0.44	1.0	0.31	0.55	1.68	0.86	0.48	1.63	0.68	0.16	0.4	0.21	0.22	0.46	0.12	0.39	0.46	0.16
ENSG00000117616.18	9499	0.06	0.86	0.36	0.03	0.54	0.09	0.07	0.61	0.1	0.1	0.65	0.28	0.05	0.74	0.37	0.04	0.35	0.22	0.02	0.37	0.12	0.02	0.43	0.12
ENSG00000170852.12	22499	0.08	1.29	0.28	0.08	1.17	0.19	0.09	0.85	0.15	0.1	0.98	0.18	0.11	0.98	0.17	0.08	0.87	0.29	0.12	0.61	0.18	0.11	1.02	0.35
ENSG00000232828.1	5499	0.03	0.24	0.01	0.0	0.07	0.0	0.01	0.29	0.0	0.0	0.33	0.0	0.02	0.43	0.02	0.01	0.12	0.02	0.01	0.21	0.03	0.04	0.27	0.02
ENSG00000268836.1	8499	0.04	1.19	0.16	0.06	0.87	0.11	0.02	0.86	0.2	0.05	1.52	0.28	0.03	1.37	0.25	0.03	1.18	0.17	0.05	1.18	0.31	0.12	1.89	0.35
ENSG00000255135.5	3999	0.2	0.6	0.09	0.21	0.44	0.19	0.06	0.18	0.04	0.03	0.25	0.05	0.17	0.34	0.04	0.07	0.06	0.06	0.16	0.15	0.25	0.11	0.17	0.1
ENSG00000022840.17	22999	0.03	1.87	0.48	0.03	1.41	0.27	0.03	1.41	0.41	0.04	2.28	0.37	0.03	2.07	0.42	0.04	1.01	0.31	0.02	0.91	0.3	0.05	1.25	0.43
ENSG00000139899.11	7999	0.66	0.87	0.33	0.19	0.64	0.19	0.16	0.79	0.16	0.22	0.45	0.15	0.23	0.53	0.09	0.14	0.26	0.13	0.18	0.24	0.11	0.35	0.42	0.09
ENSG00000230107.1	14499	1.2	0.71	0.14	0.59	0.45	0.08	0.65	0.5	0.09	0.55	0.5	0.08	0.66	0.56	0.07	0.49	0.3	0.1	0.49	0.28	0.12	0.63	0.35	0.17
ENSG00000100983.12	4999	0.11	0.66	0.36	0.08	0.61	0.18	0.09	0.48	0.22	0.19	0.32	0.24	0.19	0.37	0.36	0.03	0.35	0.15	0.13	0.22	0.11	0.15	0.29	0.15
ENSG00000289374.1	6499	0.1	0.21	0.26	0.05	0.2	0.24	0.03	0.31	0.25	0.17	0.48	0.24	0.16	0.42	0.2	0.24	0.5	0.43	0.34	0.39	0.4	0.36	0.64	0.48
ENSG00000260495.1	3999	0.14	0.39	0.15	0.03	0.21	0.09	0.07	0.28	0.14	0.08	0.48	0.05	0.12	0.4	0.14	0.09	0.38	0.2	0.06	0.41	0.27	0.09	0.15	0.18
ENSG00000201086.1	4999	0.0	0.11	0.17	0.0	0.06	0.13	0.03	0.11	0.06	0.0	0.07	0.03	0.0	0.12	0.08	0.0	0.18	0.5	0.01	0.22	0.49	0.0	0.14	0.5
ENSG00000277371.1	15999	0.0	0.79	0.05	0.03	0.47	0.04	0.01	0.42	0.06	0.0	0.88	0.09	0.02	0.98	0.09	0.02	0.6	0.16	0.01	0.61	0.18	0.01	0.79	0.3
ENSG00000113643.9	11499	0.14	1.9	0.27	0.08	1.75	0.25	0.09	1.26	0.27	0.16	1.95	0.21	0.28	2.05	0.33	0.11	1.76	0.32	0.16	1.67	0.43	0.18	1.8	0.46
ENSG00000261096.1	5999	0.3	1.5	0.68	0.13	1.4	0.73	0.08	1.22	0.74	0.2	1.15	0.76	0.15	1.07	0.59	0.16	0.67	0.46	0.14	0.58	0.3	0.22	0.6	0.45
ENSG00000182156.10	5499	0.06	0.33	0.07	0.03	0.39	0.04	0.01	0.46	0.07	0.02	0.32	0.02	0.03	0.29	0.02	0.11	0.02	0.01	0.02	0.09	0.07	0.01	0.05	0.04
ENSG00000152455.16	12999	1.59	2.44	0.56	1.24	1.65	0.53	0.99	1.76	0.37	0.96	1.58	0.43	1.23	1.71	0.44	0.78	1.09	0.89	0.93	0.91	0.7	0.84	1.17	0.99
ENSG00000004142.12	10999	0.24	1.44	0.45	0.27	1.16	0.36	0.21	1.16	0.37	0.2	1.15	0.26	0.25	1.1	0.17	0.19	0.59	0.26	0.23	0.35	0.14	0.25	0.53	0.31
