ID	Length	WT_03.Aligned.sortedByCoord.out	WT_04.Aligned.sortedByCoord.out	WT_05.Aligned.sortedByCoord.out	WT_08.Aligned.sortedByCoord.out	WT_09.Aligned.sortedByCoord.out	WT_10.Aligned.sortedByCoord.out	WT_13.Aligned.sortedByCoord.out	WT_14.Aligned.sortedByCoord.out	WT_15.Aligned.sortedByCoord.out	WT_18.Aligned.sortedByCoord.out	WT_19.Aligned.sortedByCoord.out	WT_20.Aligned.sortedByCoord.out	WT_23.Aligned.sortedByCoord.out	WT_24.Aligned.sortedByCoord.out	WT_25.Aligned.sortedByCoord.out	dBGLF5_02.Aligned.sortedByCoord.out	dBGLF5_03.Aligned.sortedByCoord.out	dBGLF5_04.Aligned.sortedByCoord.out	dBGLF5_06.Aligned.sortedByCoord.out	dBGLF5_07.Aligned.sortedByCoord.out	dBGLF5_08.Aligned.sortedByCoord.out	dBGLF5_10.Aligned.sortedByCoord.out	dBGLF5_11.Aligned.sortedByCoord.out	dBGLF5_12.Aligned.sortedByCoord.out
ENSG00000169727.14	10499	0.08	0.67	0.35	0.1	0.46	0.13	0.08	0.28	0.06	0.12	0.46	0.15	0.08	0.39	0.2	0.09	0.56	0.08	0.06	0.4	0.14	0.14	0.87	0.15
ENSG00000197111.16	19499	0.32	2.06	0.36	0.29	1.84	0.31	0.28	1.64	0.27	0.36	1.96	0.18	0.38	1.92	0.21	0.3	1.62	0.52	0.19	1.06	0.55	0.43	1.75	0.86
ENSG00000287699.1	3999	0.0	0.05	0.04	0.0	0.03	0.01	0.0	0.07	0.04	0.0	0.08	0.04	0.0	0.11	0.05	0.0	0.25	0.48	0.0	0.18	0.18	0.0	0.21	0.44
ENSG00000164975.16	24499	1.09	0.85	0.12	0.88	0.57	0.07	0.84	0.62	0.1	0.5	0.53	0.05	0.88	0.74	0.05	0.48	0.35	0.09	0.38	0.31	0.11	0.6	0.47	0.2
ENSG00000270403.1	4999	0.0	0.12	0.14	0.0	0.03	0.08	0.0	0.08	0.01	0.0	0.01	0.04	0.0	0.14	0.05	0.0	0.23	0.3	0.0	0.06	0.21	0.0	0.21	0.36
ENSG00000103502.14	6999	0.03	0.49	0.23	0.03	0.42	0.08	0.01	0.54	0.1	0.04	0.5	0.16	0.02	0.57	0.19	0.01	0.17	0.08	0.02	0.21	0.1	0.03	0.23	0.11
ENSG00000247134.8	4499	0.86	0.06	0.02	0.51	0.0	0.04	0.31	0.01	0.03	0.25	0.09	0.01	0.38	0.06	0.01	0.91	0.08	0.03	1.1	0.21	0.07	0.96	0.09	0.11
ENSG00000025293.17	5499	0.22	0.51	0.66	0.21	0.49	0.24	0.33	0.7	0.31	0.31	0.35	0.32	0.23	0.43	0.59	0.38	0.25	0.26	0.34	0.3	0.21	0.36	0.29	0.39
ENSG00000284343.1	8999	0.61	2.06	0.41	0.22	1.31	0.28	0.25	1.01	0.16	0.24	1.53	0.31	0.36	1.51	0.26	0.12	1.19	0.19	0.19	0.92	0.25	0.39	1.98	0.44
ENSG00000232598.2	12999	0.0	0.13	0.09	0.04	0.16	0.05	0.04	0.19	0.09	0.01	0.34	0.09	0.0	0.4	0.08	0.05	0.18	0.17	0.03	0.16	0.07	0.01	0.2	0.15
ENSG00000226212.2	10658	0.07	0.62	0.13	0.06	0.57	0.03	0.09	0.69	0.1	0.09	0.65	0.05	0.09	0.69	0.09	0.06	0.28	0.12	0.08	0.28	0.12	0.09	0.38	0.15
ENSG00000115694.15	6499	0.25	0.44	0.06	0.15	0.21	0.03	0.04	0.19	0.03	0.13	0.43	0.01	0.19	0.33	0.02	0.14	0.1	0.02	0.08	0.09	0.03	0.15	0.19	0.05
ENSG00000026751.17	6499	0.43	0.68	0.68	0.39	0.58	0.16	0.34	0.69	0.26	0.75	0.92	0.65	0.83	0.77	1.33	0.64	0.65	0.26	0.45	0.71	0.25	0.69	0.67	0.32
ENSG00000267254.8	7499	0.31	0.58	0.2	0.16	0.6	0.09	0.1	0.33	0.19	0.13	0.89	0.2	0.17	1.13	0.13	0.14	0.7	0.18	0.16	0.45	0.22	0.27	0.67	0.26
ENSG00000120049.20	4999	0.3	0.06	0.03	0.1	0.09	0.05	0.16	0.08	0.0	0.3	0.16	0.08	0.46	0.16	0.13	0.32	0.04	0.07	0.41	0.09	0.08	0.71	0.22	0.13
ENSG00000097007.20	7499	0.22	0.95	0.33	0.17	0.79	0.35	0.07	0.58	0.33	0.11	0.38	0.11	0.1	0.34	0.16	0.11	0.29	0.14	0.07	0.22	0.23	0.12	0.4	0.2
ENSG00000010244.19	28999	1.12	0.74	0.07	0.58	0.42	0.03	1.03	0.55	0.05	1.44	1.25	0.1	2.03	1.44	0.12	0.9	0.55	0.08	0.68	0.55	0.08	1.56	1.08	0.22
ENSG00000055044.11	26999	0.57	0.09	0.12	0.12	0.05	0.02	0.12	0.06	0.02	0.6	0.11	0.1	0.7	0.13	0.1	0.29	0.09	0.06	0.28	0.11	0.07	0.58	0.2	0.08
ENSG00000240043.1	4999	0.0	0.87	0.38	0.02	0.9	0.21	0.03	0.75	0.33	0.01	0.4	0.14	0.0	0.29	0.08	0.01	0.14	0.04	0.0	0.01	0.04	0.0	0.17	0.04
ENSG00000225726.1	4999	0.5	0.14	0.13	0.35	0.08	0.05	0.32	0.11	0.05	0.34	0.09	0.06	0.72	0.09	0.05	0.3	0.07	0.13	0.3	0.12	0.07	0.41	0.09	0.08
ENSG00000288049.1	7999	0.47	0.87	0.72	0.27	0.69	0.79	0.28	0.86	0.87	0.26	0.52	0.42	0.31	0.65	0.55	0.19	0.42	0.56	0.15	0.24	0.52	0.35	0.32	0.49
ENSG00000185238.13	7999	0.33	0.61	0.47	0.35	0.56	0.3	0.21	0.85	0.36	0.32	0.66	0.27	0.41	0.91	0.42	0.25	0.89	0.67	0.17	0.66	0.61	0.25	0.89	0.72
ENSG00000116771.6	16087	0.3	0.77	0.15	0.3	0.68	0.09	0.3	0.72	0.08	0.08	0.53	0.12	0.11	0.56	0.11	0.07	0.4	0.09	0.12	0.45	0.08	0.09	0.52	0.12
ENSG00000223431.1	3999	0.01	0.28	0.17	0.0	0.13	0.25	0.1	0.13	0.11	0.0	0.37	0.13	0.02	0.23	0.36	0.0	0.12	0.16	0.0	0.11	0.23	0.0	0.2	0.33
ENSG00000141456.16	9499	0.03	0.63	0.11	0.03	0.45	0.08	0.03	0.38	0.1	0.03	0.45	0.04	0.04	0.47	0.05	0.04	0.35	0.09	0.05	0.27	0.12	0.03	0.56	0.12
ENSG00000272982.1	5999	0.39	0.26	0.13	0.35	0.24	0.07	0.16	0.42	0.07	0.12	0.28	0.11	0.21	0.33	0.08	0.17	0.15	0.04	0.11	0.08	0.04	0.13	0.16	0.07
ENSG00000082068.9	4499	0.04	0.14	0.07	0.04	0.12	0.18	0.02	0.12	0.11	0.02	0.1	0.1	0.05	0.07	0.13	0.05	0.13	0.45	0.03	0.18	0.18	0.01	0.17	0.18
ENSG00000027869.12	3999	0.01	0.14	0.06	0.24	0.2	0.03	0.19	0.25	0.03	0.15	0.41	0.09	0.2	0.32	0.02	0.24	0.18	0.07	0.27	0.1	0.19	0.21	0.15	0.08
ENSG00000224239.1	3999	0.0	0.13	0.24	0.0	0.12	0.25	0.0	0.0	0.12	0.0	0.01	0.11	0.0	0.14	0.04	0.0	0.15	0.34	0.0	0.14	0.54	0.01	0.23	0.35
ENSG00000164654.16	11499	0.16	0.64	0.27	0.13	0.5	0.2	0.06	0.26	0.15	0.24	0.62	0.11	0.29	0.64	0.08	0.2	0.5	0.35	0.13	0.49	0.33	0.18	0.89	0.45
ENSG00000283342.1	6999	0.0	0.46	0.2	0.05	0.36	0.19	0.02	0.27	0.25	0.0	0.66	0.16	0.02	0.58	0.21	0.02	0.19	0.13	0.01	0.22	0.13	0.02	0.25	0.13
ENSG00000086504.18	3999	0.09	0.36	0.26	0.07	0.42	0.03	0.09	0.22	0.07	0.1	0.59	0.22	0.08	0.52	0.18	0.07	0.21	0.04	0.01	0.24	0.05	0.01	0.44	0.11
ENSG00000231691.2	7999	0.01	0.23	0.35	0.02	0.25	0.27	0.01	0.37	0.33	0.0	0.17	0.37	0.01	0.24	0.15	0.02	0.33	0.43	0.01	0.2	0.31	0.0	0.2	0.38
ENSG00000293495.1	4499	0.23	1.54	0.45	0.34	1.27	0.26	0.24	1.13	0.3	0.33	0.89	0.51	0.34	0.99	0.33	0.31	0.73	0.14	0.17	0.63	0.33	0.41	0.93	0.41
ENSG00000291079.1	3999	0.71	0.37	0.27	0.57	0.17	0.08	0.66	0.33	0.11	0.28	0.32	0.11	0.51	0.19	0.09	0.4	0.22	0.05	0.49	0.24	0.08	0.68	0.24	0.04
ENSG00000182858.14	12499	0.18	0.63	0.07	0.13	0.28	0.05	0.13	0.34	0.03	0.14	0.34	0.03	0.16	0.46	0.08	0.12	0.16	0.07	0.12	0.19	0.08	0.3	0.22	0.09
ENSG00000258254.1	3999	0.0	0.4	0.5	0.0	0.13	0.31	0.0	0.19	0.31	0.0	0.09	0.17	0.0	0.34	0.19	0.01	0.82	0.82	0.0	0.46	0.94	0.0	0.48	1.2
ENSG00000130703.17	5499	0.05	0.96	0.27	0.01	0.64	0.03	0.09	0.52	0.1	0.15	1.02	0.11	0.09	0.98	0.08	0.06	0.6	0.06	0.08	0.41	0.07	0.05	0.61	0.08
ENSG00000122707.12	4499	0.0	0.1	0.45	0.0	0.21	0.19	0.01	0.28	0.22	0.0	0.02	0.08	0.0	0.06	0.21	0.01	0.18	0.42	0.0	0.02	0.18	0.0	0.12	0.23
ENSG00000154118.13	5499	0.03	0.8	0.13	0.04	0.55	0.2	0.05	0.61	0.11	0.06	0.57	0.17	0.04	0.52	0.11	0.1	0.48	0.12	0.12	0.43	0.13	0.17	0.66	0.21
ENSG00000254799.1	3999	0.72	0.13	0.05	0.36	0.14	0.0	0.24	0.04	0.17	0.03	0.05	0.03	0.03	0.07	0.01	0.21	0.03	0.06	0.25	0.05	0.02	0.16	0.07	0.1
ENSG00000266844.1	14499	0.04	0.33	0.07	0.02	0.18	0.05	0.01	0.16	0.05	0.06	0.42	0.06	0.02	0.46	0.06	0.03	0.31	0.08	0.02	0.18	0.06	0.04	0.54	0.12
ENSG00000125970.12	33176	0.02	0.79	0.17	0.01	0.7	0.14	0.01	0.68	0.16	0.03	0.79	0.1	0.04	0.91	0.15	0.03	0.47	0.34	0.05	0.44	0.38	0.05	0.55	0.37
ENSG00000143412.10	3999	0.0	0.14	0.05	0.0	0.18	0.07	0.06	0.18	0.05	0.05	0.2	0.05	0.02	0.09	0.04	0.04	0.15	0.11	0.04	0.13	0.24	0.05	0.21	0.14
ENSG00000132485.14	13499	0.46	0.96	0.22	0.29	0.69	0.08	0.2	0.62	0.08	0.49	1.14	0.18	0.67	1.41	0.23	0.43	0.76	0.31	0.56	0.63	0.27	0.56	1.07	0.41
ENSG00000221886.4	8999	0.09	0.99	0.2	0.11	0.9	0.12	0.08	0.85	0.23	0.06	0.57	0.09	0.1	1.02	0.16	0.05	0.38	0.35	0.08	0.38	0.28	0.07	0.51	0.21
ENSG00000152465.18	7499	0.08	1.05	0.51	0.11	1.31	0.3	0.02	1.11	0.42	0.11	1.4	0.47	0.08	1.51	0.46	0.07	2.71	0.77	0.11	1.89	0.93	0.13	2.22	0.88
ENSG00000077150.21	22499	0.28	1.42	0.3	0.37	0.91	0.08	0.31	0.84	0.1	0.38	1.6	0.16	0.3	1.55	0.21	0.3	0.67	0.06	0.31	0.53	0.09	0.37	1.11	0.25
ENSG00000249128.1	8499	0.0	0.17	0.19	0.0	0.17	0.17	0.01	0.12	0.17	0.0	0.1	0.17	0.0	0.08	0.09	0.02	0.22	0.78	0.0	0.15	0.55	0.0	0.14	0.63
ENSG00000075420.13	14499	0.12	0.54	0.33	0.04	0.49	0.33	0.05	0.43	0.17	0.09	0.89	0.24	0.16	1.15	0.08	0.05	1.01	0.58	0.12	0.88	0.61	0.15	1.13	0.87
ENSG00000173889.16	11499	0.13	0.75	0.16	0.07	0.59	0.25	0.06	0.71	0.2	0.2	0.89	0.23	0.28	1.11	0.21	0.15	0.91	0.34	0.19	0.65	0.38	0.17	0.83	0.58
ENSG00000109685.19	3999	0.05	0.13	0.15	0.05	0.17	0.07	0.06	0.05	0.12	0.07	0.38	0.19	0.09	0.29	0.16	0.03	0.2	0.07	0.04	0.3	0.01	0.04	0.32	0.11
ENSG00000125835.20	14499	0.03	0.43	0.18	0.08	0.39	0.09	0.07	0.23	0.08	0.09	0.36	0.19	0.08	0.66	0.17	0.1	0.56	0.39	0.06	0.47	0.26	0.05	0.6	0.3
ENSG00000085840.13	3999	0.62	0.13	0.12	0.64	0.26	0.0	0.5	0.1	0.01	0.77	0.07	0.06	0.79	0.14	0.05	0.75	0.16	0.01	1.16	0.16	0.06	1.02	0.26	0.08
ENSG00000009335.19	5499	0.04	0.21	0.66	0.01	0.2	0.03	0.01	0.23	0.03	0.0	0.43	0.33	0.04	0.26	0.68	0.05	0.65	0.12	0.0	0.45	0.12	0.0	0.55	0.22
ENSG00000106526.12	5999	0.26	0.54	0.05	0.21	0.3	0.04	0.12	0.13	0.02	0.38	0.37	0.02	0.56	0.38	0.02	0.27	0.11	0.01	0.29	0.13	0.04	0.82	0.46	0.08
ENSG00000103168.17	4999	0.01	0.41	0.3	0.01	0.53	0.05	0.05	0.18	0.04	0.03	0.68	0.12	0.01	0.64	0.14	0.03	0.53	0.09	0.01	0.24	0.13	0.02	0.69	0.11
ENSG00000184988.8	8999	5.4	2.36	0.42	2.01	1.87	0.26	2.04	1.25	0.34	3.81	1.52	0.16	3.6	1.72	0.19	1.9	0.76	0.18	1.62	0.68	0.29	3.5	1.46	0.69
ENSG00000089195.15	7499	0.0	0.2	0.1	0.02	0.21	0.09	0.02	0.33	0.08	0.01	0.38	0.06	0.0	0.52	0.13	0.03	0.31	0.12	0.01	0.22	0.08	0.01	0.29	0.11
ENSG00000236352.1	10499	0.7	0.65	0.21	0.37	0.41	0.07	0.39	0.46	0.14	0.11	0.45	0.04	0.23	0.43	0.13	0.12	0.21	0.17	0.19	0.12	0.21	0.18	0.19	0.2
ENSG00000224672.4	4499	0.88	0.41	0.08	0.5	0.18	0.1	0.34	0.24	0.04	0.49	0.24	0.05	0.44	0.36	0.12	0.22	0.06	0.08	0.37	0.12	0.04	0.64	0.27	0.11
ENSG00000197798.9	5999	0.32	2.99	1.18	0.17	2.54	0.71	0.12	2.55	0.91	0.22	3.35	0.86	0.3	2.86	0.75	0.29	2.21	0.55	0.33	2.13	0.51	0.29	2.12	0.79
ENSG00000272462.4	12999	0.22	0.9	0.4	0.28	0.94	0.32	0.2	0.96	0.36	0.24	0.82	0.27	0.25	1.23	0.34	0.23	0.45	0.39	0.25	0.44	0.36	0.29	0.56	0.34
ENSG00000203472.3	11999	0.01	1.06	0.15	0.0	0.89	0.11	0.0	0.56	0.18	0.0	0.79	0.17	0.0	0.78	0.17	0.01	0.92	0.25	0.01	0.67	0.3	0.0	0.88	0.29
ENSG00000163682.17	8499	0.06	0.19	0.01	0.06	0.32	0.04	0.05	0.17	0.11	0.15	0.19	0.05	0.08	0.34	0.07	0.11	0.41	0.14	0.06	0.35	0.15	0.09	0.35	0.19
ENSG00000258159.1	17499	0.01	0.63	0.18	0.02	0.38	0.23	0.0	0.37	0.21	0.03	0.57	0.26	0.02	0.62	0.19	0.02	0.49	0.42	0.01	0.39	0.48	0.0	0.62	0.47
ENSG00000222009.9	4499	0.37	0.76	0.39	0.28	0.86	0.17	0.17	0.66	0.27	0.11	0.66	0.23	0.28	0.81	0.14	0.1	0.37	0.28	0.15	0.41	0.15	0.22	0.52	0.3
ENSG00000286817.1	11499	0.75	1.0	0.29	0.63	1.01	0.19	0.86	1.04	0.26	0.53	0.53	0.17	0.73	0.69	0.12	0.71	0.47	0.23	0.56	0.37	0.23	0.74	0.8	0.34
ENSG00000272606.2	29999	0.54	0.96	0.16	0.39	0.61	0.09	0.54	0.76	0.12	0.38	1.08	0.14	0.48	1.38	0.18	0.33	0.48	0.2	0.3	0.39	0.2	0.5	0.52	0.28
ENSG00000127423.11	6499	0.26	0.64	0.04	0.15	0.47	0.08	0.15	0.35	0.04	0.2	0.36	0.03	0.19	0.3	0.04	0.19	0.29	0.08	0.15	0.27	0.1	0.18	0.21	0.06
ENSG00000197506.8	4499	0.0	0.12	0.18	0.0	0.11	0.08	0.0	0.16	0.11	0.0	0.13	0.06	0.02	0.08	0.0	0.0	0.31	0.07	0.06	0.19	0.19	0.0	0.35	0.19
ENSG00000150281.7	5499	0.0	0.43	0.12	0.01	0.29	0.13	0.01	0.35	0.04	0.0	0.51	0.07	0.01	0.5	0.12	0.03	0.28	0.11	0.04	0.24	0.12	0.05	0.44	0.16
ENSG00000197888.3	29999	1.75	0.09	0.06	0.97	0.03	0.02	0.73	0.02	0.02	0.72	0.05	0.03	0.97	0.03	0.04	0.38	0.04	0.03	0.44	0.09	0.04	0.77	0.13	0.14
ENSG00000108010.12	3999	0.11	0.36	0.08	0.16	0.14	0.11	0.01	0.23	0.05	0.12	0.27	0.04	0.17	0.26	0.04	0.05	0.24	0.13	0.02	0.14	0.13	0.05	0.4	0.17
ENSG00000101310.17	5999	0.04	2.51	0.51	0.03	3.32	0.56	0.06	3.05	1.01	0.13	4.95	0.99	0.07	5.06	0.61	0.2	6.45	1.48	0.33	5.46	1.67	0.34	5.66	1.72
ENSG00000200487.1	4999	0.0	0.13	0.1	0.0	0.06	0.21	0.02	0.05	0.2	0.01	0.05	0.17	0.0	0.07	0.26	0.0	0.39	0.64	0.03	0.16	0.57	0.0	0.1	0.52
ENSG00000282381.2	5999	0.23	0.04	0.04	0.21	0.09	0.02	0.14	0.04	0.04	0.12	0.01	0.0	0.13	0.03	0.02	0.39	0.14	0.09	0.19	0.13	0.15	0.42	0.08	0.19
ENSG00000134996.12	5499	0.65	0.1	0.09	0.36	0.05	0.05	0.3	0.04	0.04	0.4	0.0	0.03	0.5	0.11	0.11	0.19	0.06	0.04	0.23	0.14	0.1	0.26	0.07	0.06
ENSG00000148842.18	19499	0.01	0.62	0.17	0.01	0.34	0.13	0.02	0.28	0.12	0.02	0.71	0.18	0.02	0.79	0.18	0.05	0.41	0.27	0.03	0.37	0.21	0.03	0.67	0.28
ENSG00000266017.1	5999	4.14	1.33	1.06	2.22	1.09	0.41	1.86	1.14	0.6	1.36	0.67	0.49	2.09	0.8	0.56	0.9	0.45	0.52	0.74	0.35	0.45	1.28	0.78	0.63
ENSG00000003056.8	8499	0.0	0.32	0.07	0.0	0.3	0.06	0.04	0.2	0.04	0.01	0.35	0.09	0.01	0.36	0.16	0.01	0.19	0.03	0.02	0.14	0.07	0.04	0.14	0.07
ENSG00000197044.11	28999	0.58	1.52	0.33	0.54	1.32	0.19	0.56	1.23	0.21	0.24	1.06	0.25	0.23	1.34	0.31	0.23	0.61	0.2	0.27	0.49	0.18	0.29	0.84	0.27
ENSG00000100024.15	4999	0.25	0.45	0.27	0.11	0.35	0.25	0.09	0.37	0.16	0.02	0.29	0.16	0.11	0.4	0.04	0.09	0.18	0.12	0.07	0.26	0.21	0.15	0.34	0.19
ENSG00000259225.9	3999	0.0	0.22	0.17	0.01	0.24	0.08	0.0	0.19	0.19	0.0	0.05	0.08	0.0	0.07	0.05	0.0	0.24	0.3	0.0	0.16	0.47	0.0	0.07	0.14
ENSG00000239544.1	6999	0.02	0.27	0.02	0.01	0.17	0.03	0.03	0.23	0.02	0.01	0.2	0.03	0.02	0.24	0.04	0.01	0.27	0.11	0.01	0.13	0.04	0.02	0.44	0.08
ENSG00000286196.1	8999	0.01	1.03	0.13	0.01	0.62	0.05	0.01	0.39	0.06	0.01	0.09	0.03	0.01	0.18	0.06	0.02	0.27	0.11	0.0	0.29	0.08	0.04	0.46	0.17
ENSG00000100490.10	3999	0.18	0.14	0.11	0.33	0.42	0.19	0.42	0.36	0.1	0.27	0.26	0.03	0.2	0.3	0.2	0.16	0.44	0.51	0.16	0.35	0.28	0.25	0.41	0.26
ENSG00000196668.4	4499	0.3	0.26	0.15	0.2	0.19	0.04	0.49	0.58	0.14	0.08	0.13	0.07	0.17	0.11	0.04	0.03	0.08	0.05	0.07	0.05	0.09	0.1	0.12	0.05
ENSG00000270900.1	6999	0.0	0.06	0.04	0.0	0.04	0.04	0.0	0.03	0.1	0.0	0.02	0.13	0.0	0.05	0.14	0.01	0.2	0.47	0.0	0.08	0.24	0.0	0.1	0.41
ENSG00000137074.20	5499	0.28	0.57	0.24	0.15	0.36	0.16	0.14	0.43	0.17	0.14	0.37	0.08	0.08	0.4	0.08	0.15	0.19	0.22	0.11	0.17	0.09	0.07	0.19	0.16
ENSG00000286990.1	11999	0.22	0.68	0.14	0.15	0.68	0.14	0.25	0.66	0.15	0.35	0.66	0.09	0.33	0.58	0.14	0.12	0.15	0.06	0.13	0.1	0.1	0.14	0.2	0.13
ENSG00000197498.13	8999	0.11	0.59	0.38	0.1	0.44	0.2	0.09	0.39	0.23	0.09	0.58	0.32	0.08	0.87	0.31	0.07	1.15	0.59	0.06	1.08	0.43	0.16	1.41	0.62
ENSG00000130244.13	5499	0.03	0.39	0.11	0.05	0.3	0.05	0.05	0.31	0.06	0.03	0.37	0.03	0.02	0.22	0.02	0.01	0.2	0.03	0.01	0.14	0.09	0.02	0.3	0.02
ENSG00000139651.11	5499	0.09	0.36	0.04	0.03	0.41	0.07	0.03	0.4	0.01	0.06	0.44	0.03	0.05	0.55	0.0	0.08	0.33	0.1	0.05	0.26	0.07	0.09	0.41	0.06
ENSG00000233581.1	8999	0.03	0.53	0.23	0.01	0.37	0.15	0.0	0.23	0.07	0.0	0.67	0.13	0.0	0.77	0.09	0.03	0.43	0.12	0.03	0.18	0.13	0.0	0.39	0.25
ENSG00000273456.2	6499	0.09	5.73	3.08	0.06	4.69	1.74	0.08	5.91	2.28	0.08	6.44	3.39	0.06	6.32	3.54	0.12	4.16	1.42	0.08	3.71	1.3	0.08	3.84	1.64
ENSG00000164902.14	3999	0.14	0.2	0.08	0.13	0.22	0.03	0.03	0.11	0.09	0.13	0.23	0.08	0.16	0.25	0.19	0.12	0.34	0.19	0.11	0.34	0.22	0.18	0.38	0.16
ENSG00000139190.17	24499	1.39	1.72	0.55	1.17	1.18	0.38	1.34	1.49	0.49	1.18	1.2	0.42	1.16	1.19	0.38	0.71	0.73	0.35	0.64	0.6	0.39	0.9	0.8	0.44
ENSG00000136738.15	7999	0.96	0.18	0.09	0.53	0.13	0.02	0.52	0.15	0.05	0.58	0.16	0.05	0.58	0.34	0.01	0.39	0.24	0.12	0.36	0.23	0.06	0.42	0.4	0.24
ENSG00000147905.18	3999	0.28	0.1	0.12	0.25	0.12	0.08	0.19	0.21	0.16	0.22	0.1	0.04	0.06	0.04	0.25	0.22	0.04	0.06	0.23	0.1	0.08	0.18	0.05	0.02
ENSG00000158545.16	8499	0.11	0.6	1.03	0.12	0.45	0.08	0.2	0.16	0.06	0.06	0.45	0.31	0.11	0.23	0.36	0.12	0.65	0.02	0.09	0.57	0.09	0.12	0.99	0.25
ENSG00000239407.5	14499	1.76	0.87	0.24	1.48	0.9	0.17	1.03	0.73	0.23	1.32	0.86	0.19	2.12	1.07	0.22	1.3	0.85	0.49	1.13	0.6	0.45	1.58	0.97	0.74
ENSG00000227589.1	3999	0.05	0.77	0.29	0.12	0.33	0.1	0.03	0.37	0.18	0.09	0.94	0.34	0.13	0.8	0.39	0.05	0.15	0.04	0.11	0.11	0.04	0.08	0.3	0.1
ENSG00000278346.1	9499	0.04	6.13	1.25	0.03	4.15	0.82	0.03	3.51	0.72	0.03	4.27	0.8	0.03	4.35	0.74	0.12	6.25	1.48	0.11	5.83	1.54	0.03	5.44	1.76
ENSG00000267066.1	6499	0.02	0.62	0.08	0.02	0.24	0.06	0.01	0.42	0.07	0.01	0.44	0.1	0.0	0.39	0.09	0.09	0.22	0.09	0.0	0.14	0.15	0.02	0.21	0.08
ENSG00000288670.1	7999	0.19	0.44	0.14	0.14	0.45	0.13	0.15	0.39	0.12	0.09	0.58	0.15	0.18	0.54	0.12	0.16	0.35	0.14	0.1	0.21	0.14	0.18	0.43	0.14
ENSG00000258727.1	7499	0.03	1.06	0.81	0.06	1.16	0.35	0.12	1.24	0.51	0.04	1.6	0.58	0.03	1.73	0.69	0.05	1.45	0.31	0.06	1.2	0.62	0.04	1.36	0.57
ENSG00000170734.12	8499	0.16	1.15	0.21	0.14	0.8	0.19	0.1	0.57	0.17	0.13	0.69	0.13	0.18	0.57	0.16	0.12	0.93	0.24	0.27	0.52	0.26	0.17	0.78	0.45
ENSG00000238410.1	3999	0.14	0.09	0.18	0.0	0.06	0.26	0.0	0.09	0.25	0.0	0.07	0.05	0.0	0.12	0.09	0.0	0.35	0.55	0.0	0.22	0.49	0.03	0.18	0.32
ENSG00000089154.11	6999	0.05	0.22	0.32	0.05	0.33	0.15	0.06	0.35	0.1	0.12	0.37	0.13	0.06	0.4	0.21	0.09	0.13	0.1	0.05	0.21	0.12	0.05	0.25	0.08
ENSG00000102543.14	6999	0.06	0.3	0.19	0.07	0.2	0.08	0.07	0.29	0.07	0.07	0.27	0.08	0.08	0.31	0.11	0.04	0.47	0.18	0.06	0.19	0.12	0.08	0.34	0.27
ENSG00000279792.1	15499	0.1	0.74	0.05	0.12	0.38	0.04	0.07	0.25	0.07	0.11	0.56	0.05	0.13	0.46	0.06	0.13	0.57	0.06	0.15	0.39	0.1	0.23	0.86	0.23
ENSG00000156076.10	6999	0.0	0.09	0.18	0.0	0.14	0.17	0.0	0.09	0.17	0.0	0.11	0.2	0.0	0.19	0.22	0.0	0.26	0.51	0.01	0.17	0.33	0.02	0.19	0.36
ENSG00000224595.1	3999	0.0	0.07	0.04	0.0	0.06	0.1	0.0	0.03	0.16	0.0	0.03	0.05	0.0	0.05	0.08	0.0	0.33	0.71	0.0	0.16	0.63	0.0	0.12	0.41
ENSG00000158869.11	11499	2.01	0.72	0.11	2.07	0.62	0.16	1.72	0.5	0.14	1.92	0.36	0.15	1.44	0.44	0.12	1.73	0.46	0.09	2.03	0.53	0.23	1.67	0.74	0.38
ENSG00000213854.3	6999	0.83	0.08	0.05	0.49	0.03	0.04	0.28	0.05	0.07	0.09	0.0	0.01	0.1	0.05	0.02	0.01	0.01	0.02	0.01	0.01	0.03	0.07	0.03	0.03
ENSG00000158806.14	6999	0.09	0.36	0.06	0.13	0.21	0.04	0.04	0.41	0.07	0.09	0.18	0.06	0.09	0.3	0.1	0.05	0.21	0.08	0.04	0.21	0.05	0.1	0.17	0.12
ENSG00000115355.18	5499	0.42	0.49	0.11	0.12	0.39	0.05	0.2	0.39	0.03	0.2	0.54	0.05	0.3	0.53	0.14	0.13	0.21	0.04	0.23	0.14	0.11	0.31	0.28	0.17
ENSG00000142655.13	6499	0.06	0.99	0.32	0.07	0.85	0.28	0.02	0.59	0.21	0.11	1.3	0.3	0.05	1.02	0.31	0.1	0.32	0.0	0.06	0.36	0.04	0.07	0.57	0.14
ENSG00000083520.15	15499	0.08	0.55	0.14	0.08	0.68	0.06	0.11	0.4	0.09	0.12	1.03	0.08	0.19	0.93	0.12	0.09	0.86	0.28	0.1	0.56	0.17	0.14	0.84	0.32
ENSG00000100523.17	13999	0.18	0.45	0.18	0.12	0.33	0.15	0.12	0.48	0.14	0.31	0.48	0.11	0.52	0.82	0.22	0.18	0.55	0.29	0.2	0.34	0.25	0.58	0.67	0.55
ENSG00000086730.17	12499	0.1	0.46	0.27	0.06	0.23	0.05	0.04	0.2	0.04	0.1	0.2	0.16	0.1	0.2	0.22	0.04	0.11	0.04	0.06	0.09	0.05	0.06	0.17	0.06
