ID	Length	WT_09.Aligned.sortedByCoord.out
ENSG00000132600.18	3999	0.65
ENSG00000112599.9	6499	0.46
ENSG00000099889.14	12499	0.74
ENSG00000038210.14	6999	0.7
ENSG00000132436.13	25999	1.4
ENSG00000120949.15	15999	1.36
ENSG00000125450.11	5999	0.64
ENSG00000086065.14	5499	1.49
ENSG00000185896.11	6499	1.27
ENSG00000259539.1	15999	1.88
ENSG00000104147.9	26499	7.34
ENSG00000005812.11	3999	1.67
ENSG00000265855.1	6499	0.42
ENSG00000157483.9	6999	0.32
ENSG00000228192.10	3999	0.29
ENSG00000200169.1	3999	0.5
ENSG00000124767.7	4999	0.29
ENSG00000257167.3	4999	13.53
ENSG00000142552.8	3999	0.5
ENSG00000290812.1	8999	0.52
ENSG00000275074.2	5999	0.42
ENSG00000132773.12	17499	1.3
ENSG00000180089.6	12499	2.42
ENSG00000173726.11	5499	0.79
ENSG00000273176.1	6999	1.11
ENSG00000143319.17	16678	1.79
ENSG00000203995.11	7499	1.05
ENSG00000046651.16	5999	1.01
ENSG00000148842.18	5499	0.53
ENSG00000197647.13	13499	1.95
ENSG00000173992.9	13499	1.77
ENSG00000275418.1	4499	0.9
ENSG00000288670.1	5499	0.51
ENSG00000262343.1	14999	10.17
ENSG00000142546.14	3999	0.48
ENSG00000275672.1	6499	0.51
ENSG00000105708.9	5499	0.59
ENSG00000161920.11	3999	0.92
ENSG00000105821.15	8999	0.47
ENSG00000293486.1	5499	1.31
ENSG00000105656.13	3999	1.3
ENSG00000267405.1	6499	1.01
ENSG00000135336.16	13499	1.01
ENSG00000256349.1	12999	0.98
ENSG00000115053.17	12499	0.77
ENSG00000110583.13	4999	0.52
ENSG00000138642.16	5499	0.5
ENSG00000285801.1	3999	0.62
ENSG00000100416.15	3999	6.08
ENSG00000196586.17	4999	0.69
ENSG00000237330.3	5499	2.54
ENSG00000138326.21	3999	0.55
ENSG00000105483.18	9999	3.18
ENSG00000179840.5	6499	1.13
ENSG00000162139.10	6499	0.51
ENSG00000138594.14	4999	0.54
ENSG00000136731.13	3999	1.71
ENSG00000252796.1	6999	0.59
ENSG00000271825.1	3999	0.4
ENSG00000236844.1	23499	2.05
ENSG00000139725.8	4499	0.54
ENSG00000291118.1	3999	1.7
ENSG00000260924.3	5499	1.03
ENSG00000165282.15	12999	0.83
ENSG00000177239.16	4499	1.06
ENSG00000265558.1	15499	1.12
ENSG00000284343.1	8999	1.31
ENSG00000152556.17	12999	1.78
ENSG00000289332.2	3999	0.32
ENSG00000172977.13	5999	0.88
ENSG00000105373.19	3999	0.93
ENSG00000068079.8	7499	0.98
ENSG00000286912.1	11499	0.95
ENSG00000289421.1	10499	3.58
ENSG00000288753.1	4499	0.74
ENSG00000165983.15	3999	0.58
ENSG00000226212.2	4999	0.84
ENSG00000287494.1	6999	0.39
ENSG00000078898.7	4499	0.95
ENSG00000158195.11	8999	3.47
ENSG00000198168.9	3999	1.12
ENSG00000189077.11	13499	0.62
ENSG00000153044.10	4999	0.73
ENSG00000290729.1	9999	0.52
ENSG00000180626.10	8499	1.72
ENSG00000260193.1	5499	2.74
ENSG00000265254.1	6999	0.8
ENSG00000275106.1	9999	1.39
ENSG00000168228.16	3999	0.88
ENSG00000177613.9	4499	0.56
ENSG00000186638.17	6499	1.3
ENSG00000091483.8	5999	0.53
ENSG00000178935.5	17999	1.08
ENSG00000229203.1	8999	1.48
ENSG00000134253.10	4499	0.38
ENSG00000196670.14	3999	0.97
ENSG00000170222.12	3999	0.61
ENSG00000162511.8	5999	8.53
ENSG00000075702.19	8999	1.17
ENSG00000243155.1	22999	0.96
ENSG00000130363.13	14499	0.72
ENSG00000254595.1	6499	1.1
ENSG00000144535.20	3999	1.23
ENSG00000156384.15	7999	0.83
ENSG00000198586.14	7999	1.43
ENSG00000178188.16	7499	1.69
ENSG00000283078.1	4999	0.77
ENSG00000203705.11	6999	0.64
ENSG00000287265.1	25499	2.97
ENSG00000154124.6	16499	1.31
ENSG00000240043.1	4999	0.9
ENSG00000072121.17	8499	0.82
ENSG00000082641.16	10499	0.81
ENSG00000103168.17	3999	0.55
ENSG00000255487.1	6999	1.62
ENSG00000168090.10	7999	1.24
ENSG00000007384.15	7499	0.95
ENSG00000188163.8	5499	1.43
ENSG00000272391.6	3999	2.28
ENSG00000175556.17	4999	2.57
ENSG00000129055.13	10499	0.68
ENSG00000137822.13	4999	0.44
ENSG00000272842.1	14999	3.36
ENSG00000159720.13	6499	1.02
ENSG00000053372.5	8999	2.36
ENSG00000274135.1	8499	0.71
ENSG00000106153.13	3999	1.32
ENSG00000270542.1	11499	0.44
ENSG00000155744.10	14499	1.35
ENSG00000289031.1	4999	2.93
ENSG00000158691.15	4999	0.38
ENSG00000267254.8	5499	0.81
ENSG00000122566.22	14999	3.87
ENSG00000143119.14	5999	0.39
ENSG00000272843.1	5499	0.94
ENSG00000286546.1	6499	0.7
ENSG00000186765.12	21499	2.48
ENSG00000271643.2	4499	0.38
ENSG00000232999.1	5499	1.55
ENSG00000197885.11	28999	3.19
ENSG00000126870.16	4999	1.43
ENSG00000186468.13	7999	1.42
ENSG00000120334.16	4499	0.47
ENSG00000111786.10	15234	1.86
ENSG00000116649.10	4499	1.41
ENSG00000161654.10	8999	0.77
ENSG00000101104.13	3999	0.62
ENSG00000162066.16	6499	1.12
ENSG00000280758.1	8999	1.1
ENSG00000136436.15	9499	7.87
ENSG00000287937.1	20499	1.4
ENSG00000197153.5	4499	1.65
ENSG00000178567.8	21351	3.73
ENSG00000263961.8	7499	0.6
ENSG00000273226.1	4999	2.34
ENSG00000107036.12	7999	0.53
ENSG00000112531.17	13499	0.51
ENSG00000187987.10	3999	0.83
ENSG00000146858.8	4499	1.29
ENSG00000130560.9	8999	0.96
ENSG00000237638.3	14999	0.91
ENSG00000105549.11	5499	1.38
ENSG00000181450.18	3999	7.34
ENSG00000118579.13	5499	0.63
ENSG00000228126.1	11499	2.17
ENSG00000224358.1	11999	0.84
ENSG00000287502.1	10999	1.19
ENSG00000293251.2	16499	0.9
ENSG00000214106.9	4999	1.47
ENSG00000155256.18	4999	0.57
ENSG00000144674.19	3999	0.47
ENSG00000202089.1	8999	0.74
ENSG00000215712.11	4999	0.57
ENSG00000145912.10	3999	0.32
ENSG00000239282.8	22499	2.97
ENSG00000230530.2	6999	0.71
ENSG00000260646.1	5499	0.86
ENSG00000274002.1	9999	1.0
ENSG00000269982.1	6499	0.62
ENSG00000270577.1	4999	0.39
ENSG00000116560.12	7499	2.8
ENSG00000196652.12	4499	0.88
ENSG00000152454.4	9499	0.64
ENSG00000070061.16	11999	0.58
ENSG00000199325.1	5999	0.73
ENSG00000230295.1	3999	1.05
ENSG00000256314.1	10999	0.82
ENSG00000140326.13	11499	0.96
ENSG00000167258.16	5999	1.21
ENSG00000265799.1	10499	1.03
ENSG00000199598.1	15999	0.7
ENSG00000125257.16	5499	0.63
ENSG00000289440.1	4499	0.49
ENSG00000183283.16	3999	0.5
ENSG00000099968.18	4499	6.04
ENSG00000107185.10	12499	1.54
ENSG00000261758.1	9999	0.48
ENSG00000267257.1	26499	1.01
ENSG00000089693.11	6999	0.83
ENSG00000166135.14	9999	0.9
ENSG00000289526.2	6499	0.6
ENSG00000287510.1	28499	1.69
ENSG00000065135.12	17999	1.1
ENSG00000104472.10	4999	0.65
ENSG00000206980.1	7999	0.41
ENSG00000132912.13	6499	1.15
ENSG00000164620.9	3999	0.29
ENSG00000175893.12	9499	0.84
ENSG00000271022.1	11499	0.7
ENSG00000166024.14	4999	0.25
ENSG00000000938.13	6499	0.36
ENSG00000133111.4	18999	0.83
ENSG00000123146.20	6499	1.03
ENSG00000163516.14	8499	0.68
ENSG00000246528.4	11999	0.59
ENSG00000189180.16	4999	0.72
ENSG00000124251.11	19499	2.43
ENSG00000156735.11	11499	1.13
ENSG00000198551.10	8499	0.7
ENSG00000198171.13	7499	0.98
ENSG00000232358.1	9499	0.88
ENSG00000125779.24	5499	0.47
ENSG00000145592.14	5499	0.85
ENSG00000173614.14	3999	0.91
ENSG00000087157.19	7499	0.99
ENSG00000266099.1	6499	1.4
ENSG00000291174.1	5499	0.62
ENSG00000149657.20	7499	5.63
ENSG00000158286.13	6499	0.88
ENSG00000104812.15	4499	0.86
ENSG00000011332.22	3999	0.41
ENSG00000130733.11	19499	2.88
ENSG00000284934.3	4999	1.57
ENSG00000137496.19	16499	1.68
ENSG00000143418.20	6499	0.85
ENSG00000035928.17	12999	0.53
ENSG00000288818.1	13999	4.5
